id,json
10,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 253191, ""Plan Width"": 111, ""Actual Startup Time"": 0.022, ""Actual Total Time"": 218.247, ""Actual Rows"": 255778, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1997-06-18'::date)"", ""Rows Removed by Filter"": 1244222}, ""Planning Time"": 0.046, ""Triggers"": [], ""Execution Time"": 226.16}"
11,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 159085, ""Plan Width"": 111, ""Actual Startup Time"": 0.035, ""Actual Total Time"": 211.016, ""Actual Rows"": 161051, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1997-11-17'::date)"", ""Rows Removed by Filter"": 1338949}, ""Planning Time"": 0.065, ""Triggers"": [], ""Execution Time"": 216.286}"
12,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 853688, ""Plan Width"": 111, ""Actual Startup Time"": 0.02, ""Actual Total Time"": 236.25, ""Actual Rows"": 851339, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1994-11-09'::date)"", ""Rows Removed by Filter"": 648661}, ""Planning Time"": 0.041, ""Triggers"": [], ""Execution Time"": 261.593}"
13,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 431535, ""Plan Width"": 111, ""Actual Startup Time"": 0.029, ""Actual Total Time"": 232.887, ""Actual Rows"": 430369, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1996-09-12'::date)"", ""Rows Removed by Filter"": 1069631}, ""Planning Time"": 0.053, ""Triggers"": [], ""Execution Time"": 247.884}"
14,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 1422137, ""Plan Width"": 111, ""Actual Startup Time"": 0.02, ""Actual Total Time"": 249.639, ""Actual Rows"": 1421011, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1992-05-06'::date)"", ""Rows Removed by Filter"": 78989}, ""Planning Time"": 0.043, ""Triggers"": [], ""Execution Time"": 298.215}"
15,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 119249, ""Plan Width"": 111, ""Actual Startup Time"": 0.037, ""Actual Total Time"": 208.221, ""Actual Rows"": 122823, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1998-01-17'::date)"", ""Rows Removed by Filter"": 1377177}, ""Planning Time"": 0.043, ""Triggers"": [], ""Execution Time"": 212.239}"
16,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 410.032, ""Actual Total Time"": 437.529, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 341.887, ""Actual Total Time"": 341.887, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '81'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.059, ""Triggers"": [], ""Execution Time"": 437.541}"
17,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 315605, ""Plan Width"": 111, ""Actual Startup Time"": 0.027, ""Actual Total Time"": 215.845, ""Actual Rows"": 317323, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1997-03-12'::date)"", ""Rows Removed by Filter"": 1182677}, ""Planning Time"": 0.04, ""Triggers"": [], ""Execution Time"": 224.983}"
18,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 415.209, ""Actual Total Time"": 431.194, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 344.692, ""Actual Total Time"": 344.692, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '64'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.053, ""Triggers"": [], ""Execution Time"": 431.205}"
19,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 34922.3, ""Plan Rows"": 148, ""Plan Width"": 111, ""Actual Startup Time"": 197.726, ""Actual Total Time"": 200.183, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 33907.5, ""Plan Rows"": 62, ""Plan Width"": 111, ""Actual Startup Time"": 63.568, ""Actual Total Time"": 63.568, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(o_orderdate > '1998-08-13'::date)"", ""Rows Removed by Filter"": 500000, ""Workers"": []}]}, ""Planning Time"": 0.043, ""Triggers"": [], ""Execution Time"": 200.203}"
20,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 1272964, ""Plan Width"": 111, ""Actual Startup Time"": 0.03, ""Actual Total Time"": 214.126, ""Actual Rows"": 1270375, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1993-01-04'::date)"", ""Rows Removed by Filter"": 229625}, ""Planning Time"": 0.05, ""Triggers"": [], ""Execution Time"": 249.178}"
21,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 618803, ""Plan Width"": 111, ""Actual Startup Time"": 0.023, ""Actual Total Time"": 218.55, ""Actual Rows"": 618555, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1995-11-15'::date)"", ""Rows Removed by Filter"": 881445}, ""Planning Time"": 0.042, ""Triggers"": [], ""Execution Time"": 236.83}"
22,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 707287, ""Plan Width"": 111, ""Actual Startup Time"": 0.024, ""Actual Total Time"": 226.896, ""Actual Rows"": 708229, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1995-06-25'::date)"", ""Rows Removed by Filter"": 791771}, ""Planning Time"": 0.042, ""Triggers"": [], ""Execution Time"": 245.82}"
23,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 469419, ""Plan Width"": 111, ""Actual Startup Time"": 0.024, ""Actual Total Time"": 225.653, ""Actual Rows"": 469222, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1996-07-12'::date)"", ""Rows Removed by Filter"": 1030778}, ""Planning Time"": 0.042, ""Triggers"": [], ""Execution Time"": 238.255}"
24,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 402.459, ""Actual Total Time"": 422.65, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 333.358, ""Actual Total Time"": 333.359, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '89'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.05, ""Triggers"": [], ""Execution Time"": 422.662}"
25,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 397.736, ""Actual Total Time"": 422.662, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 331.559, ""Actual Total Time"": 331.559, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '60'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.051, ""Triggers"": [], ""Execution Time"": 422.673}"
26,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 403.175, ""Actual Total Time"": 420.462, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 331.384, ""Actual Total Time"": 331.384, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '70'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.062, ""Triggers"": [], ""Execution Time"": 420.489}"
27,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 1345887, ""Plan Width"": 111, ""Actual Startup Time"": 0.028, ""Actual Total Time"": 218.496, ""Actual Rows"": 1343611, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1992-09-08'::date)"", ""Rows Removed by Filter"": 156389}, ""Planning Time"": 0.041, ""Triggers"": [], ""Execution Time"": 257.89}"
28,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 726881, ""Plan Width"": 111, ""Actual Startup Time"": 0.021, ""Actual Total Time"": 221.405, ""Actual Rows"": 727137, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1995-05-26'::date)"", ""Rows Removed by Filter"": 772863}, ""Planning Time"": 0.044, ""Triggers"": [], ""Execution Time"": 240.9}"
29,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 187519.01, ""Plan Rows"": 2596154, ""Plan Width"": 121, ""Actual Startup Time"": 0.029, ""Actual Total Time"": 1290.634, ""Actual Rows"": 2641765, ""Actual Loops"": 1, ""Filter"": ""(l_quantity > '28'::numeric)"", ""Rows Removed by Filter"": 3359450}, ""Planning Time"": 0.067, ""Triggers"": [], ""Execution Time"": 1361.349}"
30,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 539162, ""Plan Width"": 111, ""Actual Startup Time"": 0.026, ""Actual Total Time"": 235.088, ""Actual Rows"": 540272, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1996-03-20'::date)"", ""Rows Removed by Filter"": 959728}, ""Planning Time"": 0.043, ""Triggers"": [], ""Execution Time"": 250.748}"
31,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 1282861, ""Plan Width"": 111, ""Actual Startup Time"": 0.023, ""Actual Total Time"": 235.604, ""Actual Rows"": 1280289, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1992-12-19'::date)"", ""Rows Removed by Filter"": 219711}, ""Planning Time"": 0.042, ""Triggers"": [], ""Execution Time"": 276.257}"
32,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 144759.77, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 442.913, ""Actual Total Time"": 467.81, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 143759.67, ""Plan Rows"": 1, ""Plan Width"": 121, ""Actual Startup Time"": 328.742, ""Actual Total Time"": 328.742, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(l_quantity > '77'::numeric)"", ""Rows Removed by Filter"": 2000405, ""Workers"": []}]}, ""Planning Time"": 0.062, ""Triggers"": [], ""Execution Time"": 467.824}"
33,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 535454, ""Plan Width"": 111, ""Actual Startup Time"": 0.031, ""Actual Total Time"": 209.433, ""Actual Rows"": 536509, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1996-03-26'::date)"", ""Rows Removed by Filter"": 963491}, ""Planning Time"": 0.041, ""Triggers"": [], ""Execution Time"": 223.805}"
34,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 34922.3, ""Plan Rows"": 148, ""Plan Width"": 111, ""Actual Startup Time"": 137.06, ""Actual Total Time"": 150.34, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 33907.5, ""Plan Rows"": 62, ""Plan Width"": 111, ""Actual Startup Time"": 66.496, ""Actual Total Time"": 66.497, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(o_orderdate > '1998-12-14'::date)"", ""Rows Removed by Filter"": 500000, ""Workers"": []}]}, ""Planning Time"": 0.062, ""Triggers"": [], ""Execution Time"": 150.355}"
35,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 187519.01, ""Plan Rows"": 4916649, ""Plan Width"": 121, ""Actual Startup Time"": 0.028, ""Actual Total Time"": 1477.732, ""Actual Rows"": 4921975, ""Actual Loops"": 1, ""Filter"": ""(l_quantity > '9'::numeric)"", ""Rows Removed by Filter"": 1079240}, ""Planning Time"": 0.047, ""Triggers"": [], ""Execution Time"": 1638.981}"
36,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 34922.3, ""Plan Rows"": 148, ""Plan Width"": 111, ""Actual Startup Time"": 138.447, ""Actual Total Time"": 141.137, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 33907.5, ""Plan Rows"": 62, ""Plan Width"": 111, ""Actual Startup Time"": 65.232, ""Actual Total Time"": 65.232, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(o_orderdate > '1998-08-22'::date)"", ""Rows Removed by Filter"": 500000, ""Workers"": []}]}, ""Planning Time"": 0.054, ""Triggers"": [], ""Execution Time"": 141.149}"
37,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 845950, ""Plan Width"": 111, ""Actual Startup Time"": 0.042, ""Actual Total Time"": 234.664, ""Actual Rows"": 843776, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1994-11-21'::date)"", ""Rows Removed by Filter"": 656224}, ""Planning Time"": 0.055, ""Triggers"": [], ""Execution Time"": 261.091}"
38,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 187519.01, ""Plan Rows"": 5155901, ""Plan Width"": 121, ""Actual Startup Time"": 0.038, ""Actual Total Time"": 1406.06, ""Actual Rows"": 5162631, ""Actual Loops"": 1, ""Filter"": ""(l_quantity > '7'::numeric)"", ""Rows Removed by Filter"": 838584}, ""Planning Time"": 0.079, ""Triggers"": [], ""Execution Time"": 1564.491}"
39,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 44845.0, ""Plan Rows"": 468183, ""Plan Width"": 111, ""Actual Startup Time"": 0.026, ""Actual Total Time"": 235.817, ""Actual Rows"": 468050, ""Actual Loops"": 1, ""Filter"": ""(o_orderdate > '1996-07-14'::date)"", ""Rows Removed by Filter"": 1031950}, ""Planning Time"": 0.043, ""Triggers"": [], ""Execution Time"": 251.089}"
40,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1000.0, ""Total Cost"": 34922.3, ""Plan Rows"": 148, ""Plan Width"": 111, ""Actual Startup Time"": 144.009, ""Actual Total Time"": 146.911, ""Actual Rows"": 0, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 33907.5, ""Plan Rows"": 62, ""Plan Width"": 111, ""Actual Startup Time"": 68.124, ""Actual Total Time"": 68.124, ""Actual Rows"": 0, ""Actual Loops"": 3, ""Filter"": ""(o_orderdate > '1998-09-13'::date)"", ""Rows Removed by Filter"": 500000, ""Workers"": []}]}, ""Planning Time"": 0.043, ""Triggers"": [], ""Execution Time"": 146.923}"
